Temperature,Humidity,Solar_Radiation,Temperature_Pred,Humidity_Pred,Solar_Radiation_Pred
26.4,83.8,0.0,26.711422,82.592514,0.42787257
26.7,85.5,96.0,26.965654,85.49157,127.351715
24.1,92.1,66.0,24.295073,91.87445,79.30647
27.1,80.1,0.0,27.26672,79.350365,0.0
27.7,80.0,0.0,28.055708,79.955795,0.0
27.8,77.1,543.0,28.019516,76.153946,569.51404
31.0,70.5,823.0,31.059769,69.86774,819.78766
23.4,78.0,409.0,23.560266,77.70822,408.35437
32.6,68.5,380.0,31.966167,68.62206,337.71024
26.2,83.4,0.0,26.12749,83.64294,0.0
26.8,82.5,0.0,27.160076,80.49644,0.0
29.2,73.2,161.0,29.292091,73.86212,149.22386
28.9,76.5,0.0,28.995356,76.10129,1.9577572
31.8,69.5,545.0,31.967377,68.19956,541.2835
28.7,80.1,390.0,28.327976,80.206345,323.29865
31.7,69.2,746.0,31.678371,69.40542,774.01843
29.0,74.3,619.0,29.302277,72.83563,605.0556
26.4,85.2,0.0,26.614895,84.49111,0.0
31.3,68.1,617.0,30.683104,69.051544,611.3943
28.2,81.5,80.0,28.587193,79.872345,220.56895
31.4,68.8,826.0,31.322426,68.67975,795.66034
24.5,89.4,0.0,24.784836,89.202644,0.01320865
29.8,72.2,693.0,29.599789,72.9775,672.4084
31.4,68.3,782.0,31.278913,68.36906,753.231
27.3,82.7,0.0,27.335882,81.58165,0.0
24.0,85.7,0.0,23.916107,86.33772,0.0
34.8,50.6,753.0,34.57133,54.44198,759.72235
26.7,83.2,0.0,26.782135,83.292046,0.31701496
26.7,77.1,0.0,26.53933,80.328735,0.61112595
32.6,59.3,807.0,32.505238,61.10654,794.97046
28.3,81.5,0.0,28.491537,79.75315,0.0
30.0,72.0,739.0,30.769749,68.88313,736.685
32.6,62.0,746.0,32.359116,60.949482,741.9107
25.4,86.2,0.0,25.37603,86.22863,0.0
31.6,65.4,339.0,31.815819,67.14938,336.95633
27.7,73.6,270.0,27.98144,73.4137,255.45213
29.2,74.0,540.0,29.536753,72.553085,535.1592
32.1,69.2,751.0,31.707066,68.906944,707.24976
29.0,79.5,0.0,29.050491,79.72273,4.565408
30.8,66.2,612.0,30.309328,65.98798,586.4436
26.0,88.7,54.0,25.747984,88.654465,39.46703
28.3,76.7,0.0,28.119354,78.73215,0.0
28.3,77.1,582.0,28.095543,77.10534,572.9037
26.4,74.4,5.0,26.538998,76.491,42.637547
24.2,86.8,200.0,24.15734,87.31442,176.30106
28.0,79.2,0.0,28.001513,79.18766,0.0
27.7,82.0,239.0,27.93744,80.93454,217.09894
32.1,67.5,642.0,32.2449,67.1984,625.4452
33.2,65.1,362.0,32.424614,66.19921,745.56384
26.6,82.1,0.0,26.685884,81.86527,0.42787257
29.4,73.1,323.0,29.565142,73.56703,311.7487
32.5,68.9,707.0,31.76878,68.30982,714.6483
30.9,68.3,84.0,31.247828,69.22322,102.402435
30.6,71.2,501.0,30.56425,71.43959,447.12918
28.1,78.1,0.0,28.3165,77.825294,1.1544975
27.0,79.8,0.0,27.162039,79.6709,0.0
31.4,67.1,731.0,31.7423,64.88829,704.32544
26.4,85.6,14.0,26.58525,85.46314,42.93327
26.3,77.5,21.0,26.494194,76.150116,45.665714
31.6,69.1,570.0,31.967377,67.67472,557.4609
29.9,70.6,98.0,30.097523,72.07103,205.8386
27.2,80.2,0.0,27.169783,80.02212,0.6791104
28.2,78.2,0.0,28.126078,78.461205,0.0
21.5,82.6,212.0,21.505407,82.34028,200.19322
27.7,79.4,0.0,27.864145,79.43935,0.0041573048
23.9,85.9,0.0,23.783115,85.8384,0.0
29.1,75.8,0.0,28.998793,76.18473,5.8879437
30.2,67.6,582.0,30.136793,66.82788,555.52277
27.1,81.0,0.0,26.968391,81.304184,0.0
29.9,72.8,285.0,30.129622,72.37711,277.81653
26.8,82.7,0.0,26.768433,82.99488,0.0
26.0,86.8,0.0,26.010145,86.95143,2.4310634
25.7,84.2,0.0,25.614624,84.87222,0.0
24.5,88.6,0.0,24.318945,88.53409,0.4702947
25.8,87.7,0.0,25.913504,86.69513,0.9415715
28.2,70.6,621.0,28.10267,69.91235,773.1396
25.9,85.4,0.0,26.120676,84.42963,0.0
26.7,82.5,0.0,26.118122,83.908035,0.0
30.6,68.7,714.0,30.01746,71.976944,672.4826
28.8,77.6,353.0,29.381655,75.32975,306.1471
28.7,75.2,0.0,28.620499,75.69812,0.25283352
27.1,75.5,205.0,27.182487,74.78578,184.21274
30.1,72.8,262.0,30.256922,72.67312,246.75479
25.8,88.3,0.0,25.623606,88.038734,0.0
26.7,83.2,0.0,26.782135,83.292046,0.31701496
27.2,79.9,0.0,26.720215,81.0646,0.42787257
33.0,57.8,705.0,32.603043,59.4458,700.9221
29.6,73.4,675.0,29.618832,73.91541,607.70026
26.4,78.8,119.0,26.329033,78.30231,55.463173
26.3,82.8,0.0,26.523794,81.21938,1.0866743
26.0,83.5,0.0,25.850933,83.7464,0.0
28.4,77.2,0.0,28.27048,76.920204,18.790157
26.8,83.8,0.0,26.818054,83.52977,0.0
26.7,82.8,0.0,26.768433,82.99488,0.0
30.4,71.7,863.0,30.988325,68.8113,750.306
26.4,82.8,0.0,26.736557,82.15613,0.42787257
28.2,82.1,82.0,28.199034,82.01308,99.24444
35.3,46.8,784.0,34.288704,49.67633,787.2194
32.7,58.3,814.0,32.50962,63.393402,786.97723
31.4,68.1,811.0,31.20614,69.77847,778.8215
24.3,89.9,0.0,24.370243,90.17719,0.01320865
25.9,87.1,0.0,26.010145,86.93889,2.4310634
33.1,57.2,670.0,32.584152,59.593117,681.65985
26.1,79.4,51.0,26.359652,78.20385,46.05251
26.7,82.4,0.0,26.88827,82.065765,0.4790937
30.0,73.1,696.0,29.949923,72.47239,678.46906
27.7,80.0,0.0,27.705265,79.9452,0.27196643
28.3,78.6,0.0,28.146454,78.39602,0.0
23.9,91.5,10.0,24.093159,90.99987,27.573784
27.6,77.9,0.0,27.487873,77.63729,0.0
35.1,48.6,774.0,34.319294,49.276352,772.7749
29.4,66.6,819.0,29.631504,67.081314,813.15393
28.8,70.5,397.0,29.014858,71.56875,365.0187
33.2,64.3,781.0,32.432713,65.59628,737.7176
28.6,78.4,0.0,28.675783,77.82711,0.0
31.2,62.4,316.0,31.034527,61.84217,317.73523
28.4,77.4,0.0,28.399113,77.13009,0.0
30.0,73.3,591.0,29.52687,73.299484,574.6198
27.6,80.4,0.0,27.806643,79.719215,0.0
28.6,78.3,0.0,28.890167,77.74133,0.5190754
25.2,88.3,0.0,25.325169,87.98057,0.0
30.5,70.4,802.0,30.97236,69.29797,817.4931
31.9,60.9,651.0,31.651234,60.692066,664.3749
26.7,86.7,89.0,26.716677,86.11003,116.70135
29.8,74.4,557.0,29.969404,73.532364,567.5323
26.1,83.5,0.0,25.850962,83.69465,0.0
27.8,77.0,0.0,27.881832,77.13385,0.0
31.6,67.4,249.0,31.684986,65.92508,189.7584
28.4,72.3,0.0,28.062044,74.95064,0.5467402
28.6,76.9,0.0,28.731634,75.91916,1.3307375
34.3,49.0,770.0,34.444828,48.70348,782.86615
32.6,58.2,679.0,32.423897,60.390724,682.69556
26.2,85.7,0.0,26.258226,85.06979,0.61112595
35.7,53.6,770.0,35.011818,54.780876,771.5472
25.0,89.0,0.0,25.03846,88.80118,0.0
31.0,61.8,348.0,30.668863,62.15813,323.14246
30.7,65.1,469.0,30.597086,68.01559,464.505
28.1,78.9,0.0,28.123129,79.21498,0.0
30.8,71.1,844.0,31.221178,68.942345,815.3791
23.9,88.4,0.0,23.737818,88.071,0.0
31.5,65.7,775.0,31.711422,65.0051,775.4621
27.0,83.3,0.0,27.266891,82.01455,0.0
33.4,65.1,767.0,32.663193,64.9658,714.2043
31.5,68.9,672.0,31.75181,66.37996,617.96466
31.8,61.5,594.0,31.469347,61.948204,592.9302
23.3,89.2,70.0,23.22218,88.836945,40.25966
29.2,72.4,0.0,28.78418,75.33154,0.46667305
23.1,89.2,19.0,23.22218,88.836945,40.25966
25.2,85.2,33.0,25.4188,85.09014,43.815765
28.0,72.8,485.0,27.98705,73.29696,526.767
29.5,74.8,462.0,29.69871,74.54888,366.31595
26.7,80.6,0.0,26.792864,79.10577,0.61112595
31.3,69.0,819.0,31.102335,68.924835,761.9465
27.2,80.4,112.0,27.415663,79.982124,118.20545
29.4,77.0,302.0,28.86741,78.32633,251.27774
26.4,85.2,0.0,26.462027,84.64351,0.61112595
29.4,72.3,365.0,29.29362,73.3548,314.70993
30.8,68.8,589.0,30.198816,71.169876,558.7902
28.6,78.0,0.0,28.707067,77.21731,0.25283352
35.0,59.0,709.0,34.59227,60.18824,695.60614
27.4,79.8,0.0,27.208548,80.02212,0.6791104
26.8,79.4,0.0,26.597406,81.05399,1.0866743
26.9,76.6,0.0,26.599773,78.0089,0.0041573048
27.3,80.7,0.0,26.587791,80.913124,1.5629824
26.7,82.8,0.0,26.125471,83.71357,0.0
26.5,74.5,0.0,26.499279,75.685616,2.5006096
27.5,80.9,0.0,27.841791,80.13355,0.0
30.6,69.3,811.0,31.019638,69.664505,815.78815
29.4,75.9,381.0,29.42584,75.5444,288.23068
